,Parameter_combo,AP_val,AP_rank,AUC_val,AUC_rank,AP_train,AUC_train
0,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.01}",0.3425589317200147,40.0,0.767487317963899,40.0,0.7276797551114579,0.966547921199378
1,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.05}",0.37624436610632533,36.0,0.7856023687694307,38.0,0.8479287700970666,0.9783174426604542
2,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.1}",0.3931013558158653,33.0,0.7963262611785755,35.0,0.9085596455658234,0.9895198477283934
3,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 0.5}",0.41725967264355,30.0,0.7939550669502132,36.0,0.9898469340339693,0.9993140292934352
4,"{'n_estimators': 10, 'max_depth': 10, 'learning_rate': 1}",0.4188993529973402,29.0,0.7856202357453708,37.0,0.997842576518859,0.9998981048736022
5,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.01}",0.3464746525213869,39.0,0.8187733008444832,31.0,0.8061176905909906,0.9928581399059737
6,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.05}",0.3676440781138971,38.0,0.821451406537461,29.0,0.9333694954667496,0.9979168399576459
7,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.1}",0.389267025182203,34.0,0.8311095238144373,17.0,0.9750631052701335,0.9992372360947559
8,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 0.5}",0.43269075691703385,27.0,0.8378572191387739,10.0,0.9992677373552462,0.9999673867089323
9,"{'n_estimators': 10, 'max_depth': 100, 'learning_rate': 1}",0.4505301454488033,21.0,0.825253853106785,22.0,0.9993717249119629,0.9999729565404472
10,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.01}",0.3464746525213869,39.0,0.8187733008444832,31.0,0.8061176905909906,0.9928581399059737
11,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.05}",0.3676440781138971,38.0,0.821451406537461,29.0,0.9333694954667496,0.9979168399576459
12,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.1}",0.389267025182203,34.0,0.8311095238144373,17.0,0.9750631052701335,0.9992372360947559
13,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 0.5}",0.43269075691703385,27.0,0.8378572191387739,10.0,0.9992677373552462,0.9999673867089323
14,"{'n_estimators': 10, 'max_depth': 200, 'learning_rate': 1}",0.4505301454488033,21.0,0.825253853106785,22.0,0.9993717249119629,0.9999729565404472
15,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.01}",0.3464746525213869,39.0,0.8187733008444832,31.0,0.8061176905909906,0.9928581399059737
16,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.05}",0.3676440781138971,38.0,0.821451406537461,29.0,0.9333694954667496,0.9979168399576459
17,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.1}",0.389267025182203,34.0,0.8311095238144373,17.0,0.9750631052701335,0.9992372360947559
18,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 0.5}",0.43269075691703385,27.0,0.8378572191387739,10.0,0.9992677373552462,0.9999673867089323
19,"{'n_estimators': 10, 'max_depth': 50, 'learning_rate': 1}",0.4505301454488033,21.0,0.825253853106785,22.0,0.9993717249119629,0.9999729565404472
20,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.01}",0.4005503992153931,32.0,0.7973088390928298,34.0,0.9112254287863277,0.9899614906723234
21,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.05}",0.47389290996912586,9.0,0.8227855319713882,25.0,0.9899133097087952,0.9992841009545917
22,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1}",0.48480621171429805,6.0,0.8236179710530742,24.0,0.9979020053711863,0.9998910421571067
23,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.5}",0.4659555227003984,15.0,0.8378040472797724,11.0,0.9993743597940725,0.9999730891719436
24,"{'n_estimators': 100, 'max_depth': 10, 'learning_rate': 1}",0.4502204175412859,23.0,0.8192231008244656,30.0,0.9993743597940724,0.9999730891719435
25,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.01}",0.409768367010035,31.0,0.8317377476346184,15.0,0.9812687263014261,0.9993387690886317
26,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.05}",0.4723037585745102,11.0,0.8473776534767988,4.0,0.9992631966645316,0.999967122828597
27,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.1}",0.48887334639529295,4.0,0.8487094306402945,1.0,0.9993731829358132,0.9999730227409739
28,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 0.5}",0.47435208721803257,7.0,0.8456226992366875,6.0,0.9993743597940725,0.9999730891719435
29,"{'n_estimators': 100, 'max_depth': 100, 'learning_rate': 1}",0.4632127735913248,18.0,0.8297337167953185,20.0,0.9993743597940724,0.9999730891719435
30,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.01}",0.409768367010035,31.0,0.8317377476346184,15.0,0.9812687263014261,0.9993387690886317
31,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.05}",0.4723037585745102,11.0,0.8473776534767988,4.0,0.9992631966645316,0.999967122828597
32,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.1}",0.48887334639529295,4.0,0.8487094306402945,1.0,0.9993731829358132,0.9999730227409739
33,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 0.5}",0.47435208721803257,7.0,0.8456226992366875,6.0,0.9993743597940725,0.9999730891719435
34,"{'n_estimators': 100, 'max_depth': 200, 'learning_rate': 1}",0.4632127735913248,18.0,0.8297337167953185,20.0,0.9993743597940724,0.9999730891719435
35,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 0.01}",0.409768367010035,31.0,0.8317377476346184,15.0,0.9812687263014261,0.9993387690886317
36,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 0.05}",0.4723037585745102,11.0,0.8473776534767988,4.0,0.9992631966645316,0.999967122828597
37,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 0.1}",0.48887334639529295,4.0,0.8487094306402945,1.0,0.9993731829358132,0.9999730227409739
38,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 0.5}",0.47435208721803257,7.0,0.8456226992366875,6.0,0.9993743597940725,0.9999730891719435
39,"{'n_estimators': 100, 'max_depth': 50, 'learning_rate': 1}",0.4632127735913248,18.0,0.8297337167953185,20.0,0.9993743597940724,0.9999730891719435
40,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.01}",0.4334981581224152,26.0,0.8143968427413766,33.0,0.9590424903042042,0.996068786752982
41,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.05}",0.4947765651524648,2.0,0.8272299274039634,21.0,0.9976836373146728,0.9998763359615797
42,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.1}",0.4864756721242909,5.0,0.8306328094394452,19.0,0.9991708524148032,0.9999625457745396
43,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.5}",0.4659165858423481,16.0,0.839965496503992,9.0,0.9993743597940725,0.9999730891719435
44,"{'n_estimators': 200, 'max_depth': 10, 'learning_rate': 1}",0.44665705583194126,24.0,0.8218866723486041,27.0,0.9993743597940724,0.9999730891719435
45,"{'n_estimators': 200, 'max_depth': 100, 'learning_rate': 0.01}",0.4292697486825551,28.0,0.8347745049887204,13.0,0.997816542909307,0.9998927318836377
46,"{'n_estimators': 200, 'max_depth': 100, 'learning_rate': 0.05}",0.48932909855031603,3.0,0.8481081427115567,3.0,0.9993719814748369,0.9999729563100043
47,"{'n_estimators': 200, 'max_depth': 100, 'learning_rate': 0.1}",0.4953653608867418,1.0,0.8466575685160136,5.0,0.9993743597940725,0.9999730891719435
48,"{'n_estimators': 200, 'max_depth': 100, 'learning_rate': 0.5}",0.4733172524268838,10.0,0.845090370147954,8.0,0.9993743597940724,0.9999730891719436
49,"{'n_estimators': 200, 'max_depth': 100, 'learning_rate': 1}",0.4588056636419921,19.0,0.831627115807996,16.0,0.9993743597940724,0.9999730891719435
50,"{'n_estimators': 200, 'max_depth': 200, 'learning_rate': 0.01}",0.4292697486825551,28.0,0.8347745049887204,13.0,0.997816542909307,0.9998927318836377
51,"{'n_estimators': 200, 'max_depth': 200, 'learning_rate': 0.05}",0.48932909855031603,3.0,0.8481081427115567,3.0,0.9993719814748369,0.9999729563100043
52,"{'n_estimators': 200, 'max_depth': 200, 'learning_rate': 0.1}",0.4953653608867418,1.0,0.8466575685160136,5.0,0.9993743597940725,0.9999730891719435
53,"{'n_estimators': 200, 'max_depth': 200, 'learning_rate': 0.5}",0.4733172524268838,10.0,0.845090370147954,8.0,0.9993743597940724,0.9999730891719436
54,"{'n_estimators': 200, 'max_depth': 200, 'learning_rate': 1}",0.4588056636419921,19.0,0.831627115807996,16.0,0.9993743597940724,0.9999730891719435
55,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.01}",0.4292697486825551,28.0,0.8347745049887204,13.0,0.997816542909307,0.9998927318836377
56,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.05}",0.48932909855031603,3.0,0.8481081427115567,3.0,0.9993719814748369,0.9999729563100043
57,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.1}",0.4953653608867418,1.0,0.8466575685160136,5.0,0.9993743597940725,0.9999730891719435
58,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 0.5}",0.4733172524268838,10.0,0.845090370147954,8.0,0.9993743597940724,0.9999730891719436
59,"{'n_estimators': 200, 'max_depth': 50, 'learning_rate': 1}",0.4588056636419921,19.0,0.831627115807996,16.0,0.9993743597940724,0.9999730891719435
60,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.01}",0.37800294896076947,35.0,0.7855495967440986,39.0,0.854279322405519,0.9780287310567333
61,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.05}",0.4508112134053093,20.0,0.8227152394926291,26.0,0.9720598252853735,0.9975825333326876
62,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.47088012661894507,12.0,0.8214724214511709,28.0,0.9891769065710834,0.9991926377631399
63,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.5}",0.468679798634995,14.0,0.8318787487630952,14.0,0.9992899847922326,0.9999686479755829
64,"{'n_estimators': 50, 'max_depth': 10, 'learning_rate': 1}",0.4502363547263053,22.0,0.8169874734261084,32.0,0.9993743597940725,0.9999730891719435
65,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 0.01}",0.37361294034006143,37.0,0.8238506966048361,23.0,0.939031893920165,0.9980126328396826
66,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 0.05}",0.4396395870536546,25.0,0.8371244229067375,12.0,0.9984938712461152,0.9999273420213223
67,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 0.1}",0.47395653015463174,8.0,0.8483893410018852,2.0,0.9992746422762216,0.9999677197855518
68,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 0.5}",0.47022877058438795,13.0,0.8455365604467682,7.0,0.9993743597940725,0.9999730891719435
69,"{'n_estimators': 50, 'max_depth': 100, 'learning_rate': 1}",0.4646889066055261,17.0,0.8307604139903607,18.0,0.9993743597940725,0.9999730891719435
70,"{'n_estimators': 50, 'max_depth': 200, 'learning_rate': 0.01}",0.37361294034006143,37.0,0.8238506966048361,23.0,0.939031893920165,0.9980126328396826
71,"{'n_estimators': 50, 'max_depth': 200, 'learning_rate': 0.05}",0.4396395870536546,25.0,0.8371244229067375,12.0,0.9984938712461152,0.9999273420213223
72,"{'n_estimators': 50, 'max_depth': 200, 'learning_rate': 0.1}",0.47395653015463174,8.0,0.8483893410018852,2.0,0.9992746422762216,0.9999677197855518
73,"{'n_estimators': 50, 'max_depth': 200, 'learning_rate': 0.5}",0.47022877058438795,13.0,0.8455365604467682,7.0,0.9993743597940725,0.9999730891719435
74,"{'n_estimators': 50, 'max_depth': 200, 'learning_rate': 1}",0.4646889066055261,17.0,0.8307604139903607,18.0,0.9993743597940725,0.9999730891719435
75,"{'n_estimators': 50, 'max_depth': 50, 'learning_rate': 0.01}",0.37361294034006143,37.0,0.8238506966048361,23.0,0.939031893920165,0.9980126328396826
76,"{'n_estimators': 50, 'max_depth': 50, 'learning_rate': 0.05}",0.4396395870536546,25.0,0.8371244229067375,12.0,0.9984938712461152,0.9999273420213223
77,"{'n_estimators': 50, 'max_depth': 50, 'learning_rate': 0.1}",0.47395653015463174,8.0,0.8483893410018852,2.0,0.9992746422762216,0.9999677197855518
78,"{'n_estimators': 50, 'max_depth': 50, 'learning_rate': 0.5}",0.47022877058438795,13.0,0.8455365604467682,7.0,0.9993743597940725,0.9999730891719435
79,"{'n_estimators': 50, 'max_depth': 50, 'learning_rate': 1}",0.4646889066055261,17.0,0.8307604139903607,18.0,0.9993743597940725,0.9999730891719435
